# Measured spectrum of the Sun from NREL using MODTRAN
# See https://www.nrel.gov/grid/solar-resource/spectra.html, bibref MCebKur
# Wavelength [A],Flux [erg cm^-2 A^-1 s^-1]
2.019672000000000025e+03,3.980000000000000204e-01
2.019711999999999989e+03,3.250000000000000111e-01
2.019753000000000156e+03,3.270000000000000129e-01
2.019793999999999869e+03,4.040000000000000258e-01
2.019835000000000036e+03,4.859999999999999876e-01
2.019875999999999749e+03,5.919999999999999707e-01
2.019916000000000167e+03,6.930000000000000604e-01
2.019956999999999880e+03,7.910000000000000364e-01
2.019998000000000047e+03,8.139999999999999458e-01
2.020038999999999760e+03,8.639999999999999902e-01
2.020080000000000155e+03,8.670000000000001039e-01
2.020119999999999891e+03,8.659999999999998810e-01
2.020161000000000058e+03,8.739999999999999991e-01
2.020201999999999771e+03,8.469999999999999751e-01
2.020243000000000166e+03,7.369999999999999885e-01
2.020284000000000106e+03,7.230000000000000870e-01
2.020324000000000069e+03,6.949999999999999512e-01
2.020364999999999782e+03,6.109999999999999876e-01
2.020406000000000176e+03,5.280000000000000249e-01
2.020447000000000116e+03,5.849999999999999645e-01
2.020488000000000056e+03,6.470000000000000195e-01
2.020528999999999996e+03,6.879999999999999449e-01
2.020569000000000187e+03,7.770000000000000240e-01
2.020610000000000127e+03,9.230000000000000426e-01
2.020651000000000067e+03,9.809999999999998721e-01
2.020692000000000007e+03,9.450000000000000622e-01
2.020732999999999947e+03,8.890000000000000124e-01
2.020774000000000115e+03,7.169999999999999707e-01
2.020814000000000078e+03,5.340000000000000302e-01
2.020855000000000018e+03,4.570000000000000173e-01
2.020895999999999958e+03,4.410000000000000031e-01
2.020937000000000126e+03,4.470000000000000084e-01
2.020978000000000065e+03,5.649999999999999467e-01
2.021019000000000005e+03,7.179999999999999716e-01
2.021058999999999969e+03,7.860000000000000320e-01
2.021100000000000136e+03,8.160000000000000586e-01
2.021141000000000076e+03,8.569999999999999840e-01
2.021182000000000016e+03,8.609999999999999876e-01
2.021222999999999956e+03,8.049999999999999378e-01
2.021263999999999896e+03,7.399999999999999911e-01
2.021305000000000064e+03,5.959999999999999742e-01
2.021345000000000027e+03,4.259999999999999898e-01
2.021385999999999967e+03,2.779999999999999694e-01
2.021426999999999907e+03,1.690000000000000113e-01
2.021468000000000075e+03,1.300000000000000044e-01
2.021509000000000015e+03,1.770000000000000184e-01
2.021549999999999955e+03,2.089999999999999913e-01
2.021590999999999894e+03,2.949999999999999845e-01
2.021630999999999858e+03,4.190000000000000391e-01
2.021672000000000025e+03,4.890000000000000457e-01
2.021712999999999965e+03,5.150000000000000133e-01
2.021753999999999905e+03,5.799999999999999600e-01
2.021794999999999845e+03,6.400000000000000133e-01
2.021836000000000240e+03,6.069999999999999840e-01
2.021876999999999953e+03,5.090000000000000080e-01
2.021918000000000120e+03,4.230000000000000426e-01
2.021957999999999856e+03,3.840000000000000080e-01
2.021999000000000251e+03,3.659999999999999920e-01
2.022039999999999964e+03,3.950000000000000178e-01
2.022081000000000131e+03,4.159999999999999809e-01
2.022121999999999844e+03,4.100000000000000311e-01
2.022163000000000011e+03,3.569999999999999840e-01
2.022204000000000178e+03,2.729999999999999649e-01
2.022245000000000118e+03,2.489999999999999991e-01
2.022286000000000058e+03,3.290000000000000147e-01
2.022326000000000022e+03,3.860000000000000098e-01
2.022367000000000189e+03,4.049999999999999711e-01
2.022408000000000129e+03,4.190000000000000391e-01
2.022449000000000069e+03,3.930000000000000160e-01
2.022490000000000009e+03,2.899999999999999800e-01
2.022530999999999949e+03,3.459999999999999742e-01
2.022572000000000116e+03,4.819999999999999840e-01
2.022613000000000056e+03,5.390000000000000346e-01
2.022653999999999996e+03,5.380000000000000338e-01
2.022694999999999936e+03,5.979999999999999760e-01
2.022735999999999876e+03,5.360000000000000320e-01
2.022776000000000067e+03,4.100000000000000311e-01
2.022817000000000007e+03,3.750000000000000000e-01
2.022857999999999947e+03,4.339999999999999969e-01
2.022898999999999887e+03,3.969999999999999640e-01
