# Measured spectrum of Vega from The Astronomical Journal, 127:3508-3515, 2004 June by R. C. Bohlin and R. L. Gilliland
# Wavelength [A],Flux [erg cm^-2 A^-1 s^-1]
1.280799999999999955e+03,2.033497999999999837e-09
1.282000000000000000e+03,2.229432899999999914e-09
1.283099999999999909e+03,2.344665400000000116e-09
1.284299999999999955e+03,2.275177199999999930e-09
1.285500000000000000e+03,2.099736200000000060e-09
1.286700000000000045e+03,2.049719700000000143e-09
1.287900000000000091e+03,2.049398900000000038e-09
1.289000000000000000e+03,2.249460599999999990e-09
1.290200000000000045e+03,2.471237899999999991e-09
1.291400000000000091e+03,2.653989300000000039e-09
1.292599999999999909e+03,2.844283299999999837e-09
1.293799999999999955e+03,2.932644600000000140e-09
1.294900000000000091e+03,2.992712500000000071e-09
1.296099999999999909e+03,2.974034999999999853e-09
1.297299999999999955e+03,2.899568999999999833e-09
1.298500000000000000e+03,2.750808000000000123e-09
1.299700000000000045e+03,2.545828900000000152e-09
1.300799999999999955e+03,2.139409299999999940e-09
1.302000000000000000e+03,1.917176599999999941e-09
1.303200000000000045e+03,1.929572299999999892e-09
1.304400000000000091e+03,1.967637199999999977e-09
1.305599999999999909e+03,1.962824599999999864e-09
1.306700000000000045e+03,2.040927900000000057e-09
1.307900000000000091e+03,2.097917799999999846e-09
1.309099999999999909e+03,2.097530999999999795e-09
1.310299999999999955e+03,2.320612399999999848e-09
1.311500000000000000e+03,2.704141000000000040e-09
1.312599999999999909e+03,3.157580900000000047e-09
1.313799999999999955e+03,3.593015000000000129e-09
1.315000000000000000e+03,3.903470000000000377e-09
1.316200000000000045e+03,4.008612000000000095e-09
1.317299999999999955e+03,4.078348300000000372e-09
1.318500000000000000e+03,4.217469999999999913e-09
1.319700000000000045e+03,4.325856599999999940e-09
1.320900000000000091e+03,4.323083700000000276e-09
1.322099999999999909e+03,4.220123000000000234e-09
1.323200000000000045e+03,4.218862000000000274e-09
1.324400000000000091e+03,4.053759599999999737e-09
1.325599999999999909e+03,4.051859999999999696e-09
1.326799999999999955e+03,4.079435999999999684e-09
1.328000000000000000e+03,4.076629700000000126e-09
1.329099999999999909e+03,4.003727599999999842e-09
1.330299999999999955e+03,4.117030300000000301e-09
1.331500000000000000e+03,3.797101700000000179e-09
1.332700000000000045e+03,3.454942800000000131e-09
1.333900000000000091e+03,3.322847600000000018e-09
1.335000000000000000e+03,3.621423199999999874e-09
1.336200000000000045e+03,4.036513999999999778e-09
1.337400000000000091e+03,4.747441999999999704e-09
1.338599999999999909e+03,5.156346499999999592e-09
1.339799999999999955e+03,5.339787300000000197e-09
1.340900000000000091e+03,5.403012300000000256e-09
1.342099999999999909e+03,5.384556399999999953e-09
1.343299999999999955e+03,5.551078299999999690e-09
1.344500000000000000e+03,5.370092399999999950e-09
1.345700000000000045e+03,5.384947999999999880e-09
1.346799999999999955e+03,5.326605999999999628e-09
1.348000000000000000e+03,5.279665600000000074e-09
1.349200000000000045e+03,5.165261600000000104e-09
1.350400000000000091e+03,4.913461599999999795e-09
1.351599999999999909e+03,4.727172400000000272e-09
1.352700000000000045e+03,4.495906000000000005e-09
1.353900000000000091e+03,4.467713799999999631e-09
1.355099999999999909e+03,4.349632699999999622e-09
1.356299999999999955e+03,4.412008999999999627e-09
1.357500000000000000e+03,4.542649000000000326e-09
1.358599999999999909e+03,4.884227999999999980e-09
1.359799999999999955e+03,4.937765299999999743e-09
1.361000000000000000e+03,4.812599999999999697e-09
1.362200000000000045e+03,4.932397600000000111e-09
1.363400000000000091e+03,4.874210400000000401e-09
1.364500000000000000e+03,4.807316999999999768e-09
1.365700000000000045e+03,4.916341599999999686e-09
1.366900000000000091e+03,4.931038200000000216e-09
1.368099999999999909e+03,4.864315600000000262e-09
1.369299999999999955e+03,4.941296300000000358e-09
1.370400000000000091e+03,5.060241999999999699e-09
1.371599999999999909e+03,5.087158999999999721e-09
1.372799999999999955e+03,5.227309000000000317e-09
1.374000000000000000e+03,5.447500999999999964e-09
1.375200000000000045e+03,5.524230000000000061e-09
1.376299999999999955e+03,5.405495000000000057e-09
1.377500000000000000e+03,5.318528299999999702e-09
1.378700000000000045e+03,5.414152200000000249e-09
1.379900000000000091e+03,5.196549000000000312e-09
1.381099999999999909e+03,5.131098699999999785e-09
1.382200000000000045e+03,5.483226300000000368e-09
1.383400000000000091e+03,5.485788699999999933e-09
1.384599999999999909e+03,5.335812999999999718e-09
1.385799999999999955e+03,5.304803300000000352e-09
1.387000000000000000e+03,5.338488299999999704e-09
1.388099999999999909e+03,5.492480699999999851e-09
1.389299999999999955e+03,5.467809300000000151e-09
1.390500000000000000e+03,5.479455600000000270e-09
1.391700000000000045e+03,5.400474700000000324e-09
1.392900000000000091e+03,5.302774000000000325e-09
1.394000000000000000e+03,5.231767499999999635e-09
1.395200000000000045e+03,5.242331000000000351e-09
1.396400000000000091e+03,5.151576000000000078e-09
1.397599999999999909e+03,5.037431400000000079e-09
1.398799999999999955e+03,5.181781000000000182e-09
1.399900000000000091e+03,5.467418499999999652e-09
1.401099999999999909e+03,5.520759000000000374e-09
1.402299999999999955e+03,5.528926600000000006e-09
1.403500000000000000e+03,5.558748000000000252e-09
1.404700000000000045e+03,5.697985999999999642e-09
1.405799999999999955e+03,6.005464599999999875e-09
1.407000000000000000e+03,5.974634599999999890e-09
1.408200000000000045e+03,5.736566999999999635e-09
1.409400000000000091e+03,5.629838999999999753e-09
1.410500000000000000e+03,5.657942600000000008e-09
1.411700000000000045e+03,5.763417299999999902e-09
